Name,Team,Nationality,Position,Age,Matches,Goals
Mason Mount,Chelsea,ENG,"MF,FW",21,36,6
Edouard Mendy,Chelsea,SEN,GK,28,31,0
Timo Werner,Chelsea,GER,FW,24,35,6
Ben Chilwell,Chelsea,ENG,DF,23,27,3
Reece James,Chelsea,ENG,DF,20,32,1
César Azpilicueta,Chelsea,ESP,DF,30,26,1
N'Golo Kanté,Chelsea,FRA,MF,29,30,0
Jorginho,Chelsea,ITA,MF,28,28,7
Thiago Silva,Chelsea,BRA,DF,35,23,2
Kurt Zouma,Chelsea,FRA,DF,25,24,5
Mateo Kovačić,Chelsea,CRO,MF,26,27,0
Antonio Rüdiger,Chelsea,GER,DF,27,19,1
Christian Pulisic,Chelsea,USA,"FW,MF",21,27,4
Kai Havertz,Chelsea,GER,"MF,FW",21,27,4
Andreas Christensen,Chelsea,DEN,DF,24,17,0
Hakim Ziyech,Chelsea,MAR,"FW,MF",27,23,2
Tammy Abraham,Chelsea,ENG,FW,22,22,6
Marcos Alonso,Chelsea,ESP,DF,29,13,2
Callum Hudson-Odoi,Chelsea,ENG,"FW,DF",19,23,2
Olivier Giroud,Chelsea,FRA,FW,33,17,4
Kepa Arrizabalaga,Chelsea,ESP,GK,25,7,0
Billy Gilmour,Chelsea,SCO,MF,19,5,0
Willy Caballero,Chelsea,ARG,GK,38,1,0
Ruben Loftus-Cheek,Chelsea,ENG,FW,24,1,0
Emerson Palmieri,Chelsea,ITA,DF,25,2,0
Fikayo Tomori,Chelsea,ENG,DF,22,1,0
Ross Barkley,Chelsea,ENG,MF,26,2,0
Ederson,Man City,BRA,GK,26,36,0
Rúben Dias,Man City,POR,DF,23,32,1
Rodri,Man City,ESP,MF,24,34,2
Raheem Sterling,Man City,ENG,FW,25,31,10
João Cancelo,Man City,POR,DF,26,28,2
Bernardo Silva,Man City,POR,"MF,FW",25,26,2
İlkay Gündoğan,Man City,GER,MF,29,28,13
Kevin De Bruyne,Man City,BEL,MF,29,25,6
Riyad Mahrez,Man City,ALG,FW,29,27,9
Gabriel Jesus,Man City,BRA,FW,23,29,9
Kyle Walker,Man City,ENG,DF,30,24,1
John Stones,Man City,ENG,DF,26,22,4
Phil Foden,Man City,ENG,"FW,MF",20,28,9
Oleksandr Zinchenko,Man City,UKR,DF,23,20,0
Ferrán Torres,Man City,ESP,"FW,MF",20,24,7
Aymeric Laporte,Man City,FRA,DF,26,16,0
Fernandinho,Man City,BRA,MF,35,21,0
Benjamin Mendy,Man City,FRA,DF,26,13,2
Nathan Aké,Man City,NED,DF,25,10,1
